image_name,Label_Sentiment
KAM (603).jpg,positive
TAN(1).jpg,negative
KAM(516).jpg,positive
TAN(2).jpg,neutral
TAN(3).jpg,positive
TAN(4).jpg,negative
KAM(894).jpg,positive
KAM (127).jpg,negative
MAMN (470).jpg,neutral
TAN(5).jpg,negative
KAM(796).jpg,positive
KAM (157).jpg,positive
TAN(6).jpg,negative
TAN(7).jpg,positive
MAMN (1530).jpg,neutral
MAMN (490).jpg,neutral
KAM(1078).jpg,positive
MAMN (1317).jpg,neutral
KAM (66).jpg,positive
TAN(8).jpg,negative
TAN(9).jpg,positive
TAN(10).jpg,negative
MAMN (1058).jpg,neutral
KAM(877).jpg,positive
TAN(11).jpg,negative
MAMN (1456).jpg,neutral
MAMN (1695).jpg,neutral
TAN(12).jpg,negative
TAN(13).jpg,positive
TAN(14).jpg,positive
MAMN (1450).jpg,neutral
MAMN (1519).jpg,neutral
KAM(586).jpg,positive
TAN(15).jpg,negative
KAM (322).jpg,positive
TAN(16).jpg,negative
TAN(17).jpg,neutral
KAM(662).jpg,positive
TAN(18).jpg,negative
TAN(19).jpg,negative
TAN(20).jpg,negative
TAN(21).jpg,negative
MAMN (1261).jpg,neutral
TAN(22).jpg,negative
MAMN (1001).jpg,neutral
TAN(23).jpg,negative
KAM(1277).jpg,positive
MAMN (812).jpg,neutral
TAN(24).jpg,positive
MAMN (1257).jpg,neutral
KAM (143).png,positive
KAM (285).jpg,negative
TAN(25).jpg,negative
TAN(26).jpg,negative
KAM(146).jpg,positive
MAMN (1671).jpg,neutral
TAN(27).jpg,negative
TAN(28).jpg,negative
MAMN (311).jpg,neutral
KAM(252).jpg,negative
TAN(29).jpg,negative
MAMN (428).jpg,neutral
MAMN (1003).jpg,neutral
KAM(1277)(1).jpg,positive
MAMN (1160).jpg,neutral
TAN(30).jpg,negative
TAN(31).jpg,positive
KAM (363).jpg,positive
KAM(208).jpg,negative
KAM(977).jpg,positive
MAMN (420).jpg,neutral
TAN(32).jpg,negative
MAMN (1715).jpg,neutral
MAMN (336).jpg,neutral
TAN(33).jpg,neutral
KAM(788).jpg,positive
KAM(96).jpg,negative
TAN(34).jpg,negative
KAM(625).jpg,positive
TAN(35).jpg,negative
MAMN (1265).jpg,neutral
MAMN (550).jpg,neutral
TAN(36).jpg,negative
KAM(142).png,positive
KAM (620).jpg,positive
TAN(37).jpg,negative
TAN(38).jpg,negative
TAN(39).jpg,positive
KAM(1320).jpg,positive
KAM(55).png,positive
KAM(270).jpg,positive
MAMN (1004).jpg,neutral
MAMN (2126).jpg,neutral
KAM(187).jpg,negative
MAMN (1892).jpg,neutral
